"AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_WAC","AIRPORT_COUNTRY_NAME","AIRPORT_COUNTRY_CODE_ISO","AIRPORT_STATE_NAME","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","CITY_MARKET_WAC","LATITUDE","LONGITUDE",
"PUZ","Puerto Cabezas International","Puerto Cabezas, Nicaragua",153,"Nicaragua","NI","","","",34305,"Puerto Cabezas, Nicaragua",153,14.04611111,-83.38666667,
"PUZ","Puerto Cabezas Airport","Puerto Cabezas, Nicaragua",153,"Nicaragua","NI","","","",34305,"Puerto Cabezas, Nicaragua",153,14.04611111,-83.38694444,
"PVC","Provincetown Municipal","Provincetown, MA",13,"United States","US","Massachusetts","MA","25",34306,"Provincetown, MA",13,42.07194444,-70.22166667,
"PVC","Provincetown Municipal","Provincetown, MA",13,"United States","US","Massachusetts","MA","25",34306,"Provincetown, MA",13,42.07222222,-70.22083333,
"PVC","Lprovincetown Municipal","Provincetown, MA",13,"United States","US","Massachusetts","MA","25",34306,"Provincetown, MA",13,42.07222222,-70.22083333,
"PVC","Provincetown Municipal","Provincetown, MA",13,"United States","US","Massachusetts","MA","25",34306,"Provincetown, MA",13,42.07222222,-70.22083333,
"PVD","Theodore Francis Green State","Providence, RI",15,"United States","US","Rhode Island","RI","44",30721,"Boston, MA (Metropolitan Area)",13,41.72833333,-71.42611111,
"PVD","Theodore Francis Green State","Providence, RI",15,"United States","US","Rhode Island","RI","44",30721,"Boston, MA (Metropolitan Area)",13,41.72388889,-71.42833333,
"PVD","Theodore Francis Green State","Providence, RI",15,"United States","US","Rhode Island","RI","44",30721,"Boston, MA (Metropolitan Area)",13,41.72222222,-71.42777778,
"PVD","Theodore Francis Green State","Providence, RI",15,"United States","US","Rhode Island","RI","44",30721,"Boston, MA (Metropolitan Area)",13,41.72388889,-71.42833333,
"PVD","Theodore Francis Green State","Providence, RI",15,"United States","US","Rhode Island","RI","44",30721,"Boston, MA (Metropolitan Area)",13,41.72222222,-71.42777778,
"PVF","Placerville Airport","Placerville, CA",91,"United States","US","California","CA","06",34308,"Placerville, CA",91,38.72416667,-120.75333333,
"PVG","Pudong International","Shanghai, China",713,"China","CN","","","",34309,"Shanghai, China",713,31.14388889,121.79138889,
"PVG","Pudong","Shanghai, China",713,"China","CN","","","",34309,"Shanghai, China",713,31.14416667,121.79250000,
"PVH","Porto Velho Airport","Porto Velho, Brazil",316,"Brazil","BR","","","",34310,"Porto Velho, Brazil",316,-8.70916667,-63.90222222,
"PVH","Governador Jorge Teixeira de Oliveira","Porto Velho, Brazil",316,"Brazil","BR","","","",34310,"Porto Velho, Brazil",316,-8.70916667,-63.90222222,
"PVK","Aktio","Preveza, Greece",433,"Greece","GR","","","",34311,"Preveza, Greece",433,38.92638889,20.76583333,
"PVK","Aktio","Preveza, Greece",433,"Greece","GR","","","",34311,"Preveza, Greece",433,38.92555556,20.76472222,
"PVR","Licenciado Gustavo Diaz Ordaz International","Puerto Vallarta, Mexico",148,"Mexico","MX","","","",34312,"Puerto Vallarta, Mexico",148,20.68194444,-105.24833333,
"PVR","Licenciado Gustavo Diaz Ordaz International","Puerto Vallarta, Mexico",148,"Mexico","MX","","","",34312,"Puerto Vallarta, Mexico",148,20.68000000,-105.25416667,
"PVS","Provideniya Bay","Provideniya, U.S.S.R.",786,"U.S.S.R.","SU","","","",34313,"Provideniya, U.S.S.R.",786,64.37916667,-173.24277778,
"PVS","Provideniya Bay","Provideniya, Russia",770,"Russia","RU","","","",34313,"Provideniya, Russia",770,64.37916667,-173.24277778,
"PVS","Provideniya Bay","Provideniya, Russia",770,"Russia","RU","","","",34313,"Provideniya, Russia",770,64.37833333,-173.24333333,
"PVS","Provideniya Bay","Provideniya, Russia",770,"Russia","RU","","","",34313,"Provideniya, Russia",770,64.37916667,-173.24277778,
"PVS","Provideniya Bay","Provideniya, Russia",770,"Russia","RU","","","",34313,"Provideniya, Russia",770,64.37833333,-173.24333333,
"PVU","Provo Municipal","Provo, UT",87,"United States","US","Utah","UT","49",34314,"Provo, UT",87,40.21805556,-111.72222222,
"PVU","Provo Municipal","Provo, UT",87,"United States","US","Utah","UT","49",34314,"Provo, UT",87,40.21916667,-111.72333333,
"PVW","Hale County","Plainview, TX",74,"United States","US","Texas","TX","48",34315,"Plainview, TX",74,34.16833333,-101.71416667,
"PVW","Hale County","Plainview, TX",74,"United States","US","Texas","TX","48",34315,"Plainview, TX",74,34.16805556,-101.71722222,
"PVY","Pope Vanoy Airport","Pope Vanoy, AK",1,"United States","US","Alaska","AK","02",34316,"Pope Vanoy, AK",1,59.31666667,-154.91666667,
"PVZ","Casement","Painesville, OH",44,"United States","US","Ohio","OH","39",34317,"Painesville, OH",44,41.73527778,-81.22055556,
"PWA","Wiley Post","Oklahoma City, OK",73,"United States","US","Oklahoma","OK","40",33851,"Oklahoma City, OK",73,35.53277778,-97.64916667,
"PWA","Wiley Post","Oklahoma City, OK",73,"United States","US","Oklahoma","OK","40",33851,"Oklahoma City, OK",73,35.53416667,-97.64666667,
"PWA","Wiley Post","Oklahoma City, OK",73,"United States","US","Oklahoma","OK","40",33851,"Oklahoma City, OK",73,35.53416667,-97.64694444,
"PWE","Pevek Airport","Pevek, Russia",770,"Russia","RU","","","",34319,"Pevek, Russia",770,69.78333333,170.60000000,
"PWE","Pevek Airport","Pevek, Russia",770,"Russia","RU","","","",34319,"Pevek, Russia",770,69.78333333,170.59694444,
"PWK","Pal/Waukee","Chicago, IL",41,"United States","US","Illinois","IL","17",30977,"Chicago, IL",41,42.11250000,-87.90111111,
"PWK","Palwaukee Municipal","Chicago, IL",41,"United States","US","Illinois","IL","17",30977,"Chicago, IL",41,42.11250000,-87.90111111,
"PWK","Chicago Executive","Chicago, IL",41,"United States","US","Illinois","IL","17",30977,"Chicago, IL",41,42.11250000,-87.90111111,
"PWK","Chicago Executive","Chicago, IL",41,"United States","US","Illinois","IL","17",30977,"Chicago, IL",41,42.11416667,-87.90166667,
"PWM","Portland International Jetport","Portland, ME",12,"United States","US","Maine","ME","23",34321,"Portland, ME",12,43.64444444,-70.30361111,
"PWM","Portland International Jetport","Portland, ME",12,"United States","US","Maine","ME","23",34321,"Portland, ME",12,43.64611111,-70.30916667,
"PWM","Portland International Jetport","Portland, ME",12,"United States","US","Maine","ME","23",34321,"Portland, ME",12,43.64555556,-70.30861111,
"PWM","Portland International Jetport","Portland, ME",12,"United States","US","Maine","ME","23",34321,"Portland, ME",12,43.64611111,-70.30916667,
"PWM","Portland International Jetport","Portland, ME",12,"United States","US","Maine","ME","23",34321,"Portland, ME",12,43.64555556,-70.30861111,
"PWR","Big and Little Port Walter","Big Port Walter, AK",1,"United States","US","Alaska","AK","02",34322,"Big Port Walter, AK",1,56.38333333,-134.65000000,
"PWT","Kitsap County","Bremerton, WA",93,"United States","US","Washington","WA","53",34323,"Bremerton, WA",93,47.48500000,-122.76333333,
"PWT","Bremerton National","Bremerton, WA",93,"United States","US","Washington","WA","53",34323,"Bremerton, WA",93,47.48500000,-122.76333333,
"PWT","Bremerton National","Bremerton, WA",93,"United States","US","Washington","WA","53",34323,"Bremerton, WA",93,47.49027778,-122.76472222,
"PXM","Puerto Escondido International","Puerto Escondido, Mexico",148,"Mexico","MX","","","",34324,"Puerto Escondido, Mexico",148,15.87250000,-97.08611111,
"PXM","Puerto Escondido International","Puerto Escondido, Mexico",148,"Mexico","MX","","","",34324,"Puerto Escondido, Mexico",148,15.87694444,-97.08916667,
"PXO","Porto Santo Airport","Porto Santo, Portugal",469,"Portugal","PT","","","",34325,"Porto Santo, Portugal",469,33.07083333,-16.34972222,
"PXO","Porto Santo Airport","Porto Santo, Portugal",469,"Portugal","PT","","","",34325,"Porto Santo, Portugal",469,33.07333333,-16.35000000,
"PXO","Porto Santo Airport","Porto Santo, Portugal",469,"Portugal","PT","","","",34325,"Porto Santo, Portugal",469,33.07333333,-16.35000000,
"PXO","Porto Santo Airport","Porto Santo, Portugal",540,"Portugal","PT","","","",34325,"Porto Santo, Portugal",540,33.06694444,-16.34555556,
"PXO","Porto Santo Airport","Porto Santo, Portugal",469,"Portugal","PT","","","",34325,"Porto Santo, Portugal",469,33.06694444,-16.34555556,
"PXO","Porto Santo Airport","Porto Santo, Portugal",469,"Portugal","PT","","","",34325,"Porto Santo, Portugal",469,33.07083333,-16.34972222,
"PXU","Pleiku Airport","Pleiku, Vietnam",791,"Vietnam","VN","","","",34326,"Pleiku, Vietnam",791,14.00416667,108.01722222,
"PXU","Pleiku Airport","Pleiku, Vietnam",791,"Vietnam","VN","","","",34326,"Pleiku, Vietnam",791,14.00444444,108.01722222,
"PXU","Pleiku Airport","Pleiku, Vietnam",791,"Vietnam","VN","","","",34326,"Pleiku, Vietnam",791,14.00416667,108.01722222,
"PXU","Pleiku Airport","Pleiku, Vietnam",791,"Vietnam","VN","","","",34326,"Pleiku, Vietnam",791,14.00444444,108.01722222,
"PXU","Pleiku Airport","Pleiku, Vietnam",791,"Vietnam","VN","","","",34326,"Pleiku, Vietnam",791,14.00305556,108.02138889,
"PXU","Pleiku Airport","Pleiku, Vietnam",780,"Vietnam","VN","","","",34326,"Pleiku, Vietnam",780,14.00305556,108.02138889,
"PYA","Port Ashton Airport","Port Ashton, AK",1,"United States","US","Alaska","AK","02",34327,"Port Ashton, AK",1,60.05750000,-148.05111111,
"PYB","Jeypore Airport","Jeypore, India",733,"India","IN","","","",34328,"Jeypore, India",733,18.85000000,82.58333333,
"PYB","Jeypore Airport","Jeypore, India",733,"India","IN","","","",34328,"Jeypore, India",733,18.88027778,82.55222222,
"PYH","Puerto Ayacucho Airport","Puerto Ayacucho, Venezuela",388,"Venezuela","VE","","","",34329,"Puerto Ayacucho, Venezuela",388,5.60000000,-67.50000000,
"PYH","Puerto Ayacucho Airport","Puerto Ayacucho, Venezuela",388,"Venezuela","VE","","","",34329,"Puerto Ayacucho, Venezuela",388,5.60000000,-67.56666667,
"PYJ","Polyarnyj Airport","Polyarnyj, Russia",770,"Russia","RU","","","",34330,"Polyarnyj, Russia",770,66.41666667,112.05000000,
"PYL","Perry Island Seaplane Base","Perry Island, AK",1,"United States","US","Alaska","AK","02",34331,"Perry Island, AK",1,60.68583333,-147.91666667,
"PYM","Plymouth Municipal","Plymouth, MA",13,"United States","US","Massachusetts","MA","25",34332,"Plymouth, MA",13,41.90972222,-70.72944444,
"PYM","Plymouth Municipal","Plymouth, MA",13,"United States","US","Massachusetts","MA","25",34332,"Plymouth, MA",13,41.90916667,-70.72888889,
"PYM","Plymouth Municipal","Plymouth, MA",13,"United States","US","Massachusetts","MA","25",34332,"Plymouth, MA",13,41.90861111,-70.72777778,
"PYM","Plymouth Municipal","Plymouth, MA",13,"United States","US","Massachusetts","MA","25",34332,"Plymouth, MA",13,41.90916667,-70.72888889,
"PYM","Plymouth Municipal","Plymouth, MA",13,"United States","US","Massachusetts","MA","25",34332,"Plymouth, MA",13,41.90861111,-70.72777778,
"PYR","Andravida","Pyrgos, Greece",433,"Greece","GR","","","",34333,"Pyrgos, Greece",433,37.92305556,21.29500000,
"PYR","Andravida","Pyrgos, Greece",433,"Greece","GR","","","",34333,"Pyrgos, Greece",433,37.92083333,21.29250000,
"PYR","Andravida","Pyrgos, Greece",433,"Greece","GR","","","",34333,"Pyrgos, Greece",433,37.92527778,21.29138889,
"PYR","Andravida","Pyrgos, Greece",433,"Greece","GR","","","",34333,"Pyrgos, Greece",433,37.92083333,21.29250000,
"PYR","Andravida","Pyrgos, Greece",433,"Greece","GR","","","",34333,"Pyrgos, Greece",433,37.92527778,21.29138889,
"PZA","Paz de Ariporo Airport","Paz de Ariporo, Colombia",327,"Colombia","CO","","","",34334,"Paz de Ariporo, Colombia",327,5.87777778,-71.88500000,
"PZA","Paz de Ariporo Airport","Paz de Ariporo, Colombia",327,"Colombia","CO","","","",34334,"Paz de Ariporo, Colombia",327,5.87555556,-71.89305556,
"PZA","Paz de Ariporo Airport","Paz de Ariporo, Colombia",327,"Colombia","CO","","","",34334,"Paz de Ariporo, Colombia",327,5.87611111,-71.88666667,
"PZA","Paz de Ariporo Airport","Paz de Ariporo, Colombia",327,"Colombia","CO","","","",34334,"Paz de Ariporo, Colombia",327,5.87555556,-71.89305556,
"PZA","Paz de Ariporo Airport","Paz de Ariporo, Colombia",327,"Colombia","CO","","","",34334,"Paz de Ariporo, Colombia",327,5.87611111,-71.88666667,
"PZB","Pietermaritzburg Airport","Pietermaritzburg, South Africa",562,"South Africa","ZA","","","",34335,"Pietermaritzburg, South Africa",562,-29.65055556,30.40027778,
"PZB","Pietermaritzburg Airport","Pietermaritzburg, South Africa",562,"South Africa","ZA","","","",34335,"Pietermaritzburg, South Africa",562,-29.64888889,30.39861111,
"PZE","Penzance Airport","Penzance, United Kingdom",493,"United Kingdom","GB","","","",34336,"Penzance, United Kingdom",493,50.11194444,-5.51611111,
"PZO","General Manuel Carlos Piar","Puerto Ordaz, Venezuela",388,"Venezuela","VE","","","",34337,"Ciudad Guayana/Puerto Ordaz, Venezuela",388,8.28861111,-62.76027778,
"PZU","Port Sudan Airport","Port Sudan, Sudan",583,"Sudan","SD","","","",34338,"Port Sudan, Sudan",583,19.57777778,37.21388889,
"PZU","Port Sudan Airport","Port Sudan, Sudan",583,"Sudan","SD","","","",34338,"Port Sudan, Sudan",583,19.43361111,37.23416667,
"PZY","Piestany Airport","Piestany, Czechoslovakia",417,"Czechoslovakia","","","","",34339,"Piestany, Czechoslovakia",417,48.63333333,17.83333333,
"PZY","Piestany Airport","Piestany, Slovakia",483,"Slovakia","SK","","","",34339,"Piestany, Slovakia",483,48.63333333,17.83333333,
"PZY","Piestany Airport","Piestany, Slovakia",483,"Slovakia","SK","","","",34339,"Piestany, Slovakia",483,48.62500000,17.82861111,
"PZY","Piestany International","Piestany, Slovakia",483,"Slovakia","SK","","","",34339,"Piestany, Slovakia",483,48.62500000,17.82861111,
"PZY","Piestany Airport","Piestany, Slovakia",483,"Slovakia","SK","","","",34339,"Piestany, Slovakia",483,48.62500000,17.82861111,
"PZY","Piestany International","Piestany, Slovakia",483,"Slovakia","SK","","","",34339,"Piestany, Slovakia",483,48.62500000,17.82861111,
"QAF","Jackpot/Hayden Field","Jackpot, NV",85,"United States","US","Nevada","NV","32",34341,"Jackpot, NV",85,41.97694444,-114.65861111,
"QAF","Jackpot/Hayden Field","Jackpot, NV",85,"United States","US","Nevada","NV","32",34341,"Jackpot, NV",85,41.97611111,-114.65805556,
"QAF","Jackpot/Hayden Field","Jackpot, NV",85,"United States","US","Nevada","NV","32",34341,"Jackpot, NV",85,41.97583333,-114.65805556,
"QAF","Jackpot/Hayden Field","Jackpot, NV",85,"United States","US","Nevada","NV","32",34341,"Jackpot, NV",85,41.97611111,-114.65805556,
"QAF","Jackpot/Hayden Field","Jackpot, NV",85,"United States","US","Nevada","NV","32",34341,"Jackpot, NV",85,41.97583333,-114.65805556,
"QAH","Centro de Lancamento de Alcantara","Alcantara, Brazil",316,"Brazil","BR","","","",34343,"Alcantara, Brazil",316,-2.37638889,-44.39361111,
"QAH","Centro de Lancamento de Alcantara","Alcantara, Brazil",316,"Brazil","BR","","","",34343,"Alcantara, Brazil",316,-2.37305556,-44.39638889,
"QAJ","Globe-San Carlos","Globe, AZ",81,"United States","US","Arizona","AZ","04",34344,"Globe, AZ",81,33.35277778,-110.66333333,
"QAJ","San Carlos Apache","Globe, AZ",81,"United States","US","Arizona","AZ","04",34344,"Globe, AZ",81,33.35305556,-110.66722222,
"QAK","Carl R Keller Field","Port Clinton, OH",44,"United States","US","Ohio","OH","39",34345,"Port Clinton, OH",44,41.51805556,-82.86833333,
"QAK","Carl R Keller Field","Port Clinton, OH",44,"United States","US","Ohio","OH","39",34345,"Port Clinton, OH",44,41.51638889,-82.86944444,
"QAK","Erie Ottawa International","Port Clinton, OH",44,"United States","US","Ohio","OH","39",34345,"Port Clinton, OH",44,41.51638889,-82.86944444,
"QAK","Carl R Keller Field","Port Clinton, OH",44,"United States","US","Ohio","OH","39",34345,"Port Clinton, OH",44,41.51638889,-82.86944444,
